Name,background,body,clothing,ears,face,hair,horns,lifestyle
1,Common Forest,Uncommon Purple,Common Outfit 1,Common Ears 4,Rare Face 2,Rare Hair 1,none,Common Locket
2,Common Moon,Rare Pink,Uncommon Outfit 2,Common Ears 3,Common Face 4,Rare Hair 1,Uncommon Horns 1,Common Lace Glove
3,Common Moon,Common Blue,Common Outfit 3,Common Ears 6,Common Face 5,Uncommon Hair 2,Common Horns 2,Common Demon Tail
4,Common Rainbow,Common Red,Common Outfit 4,Uncommon Ear 1,Common Face 2,Uncommon Hair 1,none,Common Demon Tail
5,Common Forest,Rare Pink,Rare Outfit 1,Common Ears 4,Uncommon Face 2,Common Hair 4,Common Horns 2,Common Demon Tail
6,Common Moon,Uncommon Purple,Common Outfit 3,Common Ears 5,Common Face 1,Common Hair 2,Common Horns 2,Common Apple
7,Common Moon,Rare Pink,Uncommon Outfit 2,Uncommon Ear 1,Common Face 2,Common Hair 1,Uncommon Horns 1,Common Spider
8,Common Forest,Common Red,Common Outfit 4,Uncommon Ear 1,Uncommon Face 1,Common Hair 1,Common Horns 3,Common Lace Glove
9,Common Forest,Common Red,Common Outfit 3,Rare Ears 1,Common Face 2,Common Hair 1,none,Common Locket
10,Common Forest,Common Red,Uncommon Outfit 2,Common Ears 3,Rare Face 1,Common Hair 2,Uncommon Horns 1,Common Apple
11,Common Forest,Rare Pink,Rare Outfit 1,Common Ears 5,Uncommon Face 2,Common Hair 4,none,Uncommon Whip
12,Common Forest,Uncommon Purple,Uncommon Outfit 1,Uncommon Ear 1,Common Face 1,Common Hair 4,Common Horns 2,Common Apple
13,Common Clouds,Common Red,Uncommon Outfit 1,Uncommon Ear 1,Common Face 4,Uncommon Hair 2,none,Common Locket
14,Common Rainbow,Uncommon Purple,Rare Outfit 1,Uncommon Ears 2,Rare Face 2,Rare Hair 1,none,Common Locket
15,Common Moon,Common Blue,Common Outfit 1,Common Ears 6,Common Face 1,Common Hair 4,Uncommon Horns 1,Uncommon Snake
16,Common Rainbow,Uncommon Purple,Rare Outfit 2,Common Ears 6,Uncommon Face 1,Common Hair 2,Common Horns 1,Common Demon Tail
17,Common Moon,Uncommon Purple,Uncommon Outfit 2,Uncommon Ear 1,Common Face 5,Uncommon Hair 1,none,Uncommon Whip
18,Common Moon,Rare Pink,Uncommon Outfit 1,Rare Ears 1,Uncommon Face 1,Common Hair 2,Common Horns 1,Common Lace Glove
19,Common Forest,Common Red,Common Outfit 1,Uncommon Ear 1,Common Face 1,Uncommon Hair 2,Common Horns 3,Common Apple
20,Common Rainbow,Uncommon Purple,Common Outfit 1,Common Ears 6,Uncommon Face 1,Common Hair 4,Common Horns 1,Common Spider
21,Common Clouds,Common Blue,Common Outfit 1,Uncommon Ears 2,Common Face 4,Common Hair 2,Common Horns 3,Common Lace Glove
22,Common Rainbow,Rare Pink,Uncommon Outfit 1,Common Ears 3,Uncommon Face 1,Common Hair 1,Rare Horns 1,Common Spider
23,Common Clouds,Common Blue,Uncommon Outfit 1,Common Ears 5,Common Face 6,Uncommon Hair 2,none,Uncommon Whip
24,Common Clouds,Common Blue,Rare Outfit 1,Common Ears 4,Common Face 1,Uncommon Hair 1,Uncommon Horns 1,Uncommon Snake
25,Common Forest,Common Red,Common Outfit 2,Uncommon Ear 1,Rare Face 2,Rare Hair 1,Common Horns 1,Common Demon Tail
26,Common Forest,Uncommon Purple,Common Outfit 5,Common Ears 2,Uncommon Face 3,Common Hair 3,Common Horns 3,Common Apple
27,Common Forest,Rare Pink,Uncommon Outfit 2,Uncommon Ears 2,Uncommon Face 1,Common Hair 3,Uncommon Horns 1,Uncommon Snake
28,Common Moon,Common Blue,Common Outfit 5,Common Ears 6,Uncommon Face 1,Common Hair 1,Common Horns 1,Common Locket
29,Common Rainbow,Common Red,Uncommon Outfit 1,Rare Ears 1,Common Face 4,Uncommon Hair 1,Common Horns 1,Common Locket
30,Common Rainbow,Rare Pink,Uncommon Outfit 2,Common Ears 6,Common Face 1,Common Hair 4,Common Horns 1,Uncommon Snake
31,Common Rainbow,Rare Pink,Common Outfit 2,Common Ears 6,Common Face 5,Common Hair 2,Common Horns 2,Common Locket
32,Common Rainbow,Common Red,Common Outfit 1,Common Ears 3,Uncommon Face 1,Uncommon Hair 2,Common Horns 1,Common Spider
33,Common Forest,Uncommon Purple,Common Outfit 1,Common Ears 4,Uncommon Face 2,Uncommon Hair 1,Uncommon Horns 1,Common Demon Tail
34,Common Moon,Common Blue,Rare Outfit 2,Uncommon Ear 1,Rare Face 1,Common Hair 4,Common Horns 3,Common Locket
35,Common Rainbow,Uncommon Purple,Uncommon Outfit 1,Common Ears 5,Rare Face 1,Common Hair 4,Common Horns 2,Uncommon Snake
36,Common Moon,Common Red,Common Outfit 2,Common Ears 1,Rare Face 1,Common Hair 3,Rare Horns 1,Common Demon Tail
37,Common Forest,Common Blue,Rare Outfit 2,Common Ears 6,Common Face 5,Common Hair 4,Common Horns 3,Common Apple
38,Common Forest,Uncommon Purple,Common Outfit 3,Rare Ears 2,Common Face 5,Uncommon Hair 1,Uncommon Horns 1,Uncommon Snake
39,Common Moon,Common Blue,Rare Outfit 2,Common Ears 1,Common Face 4,Common Hair 4,Common Horns 1,Common Locket
40,Common Clouds,Rare Pink,Common Outfit 1,Common Ears 6,Uncommon Face 3,Common Hair 1,Common Horns 1,Common Demon Tail
41,Common Forest,Rare Pink,Uncommon Outfit 1,Common Ears 2,Uncommon Face 3,Uncommon Hair 1,Common Horns 3,Common Apple
42,Common Rainbow,Uncommon Purple,Common Outfit 1,Common Ears 5,Common Face 1,Common Hair 3,Common Horns 1,Common Apple
43,Common Moon,Rare Pink,Rare Outfit 1,Uncommon Ear 1,Rare Face 2,Uncommon Hair 1,Common Horns 3,Uncommon Snake
44,Common Moon,Uncommon Purple,Common Outfit 1,Uncommon Ear 1,Common Face 4,Uncommon Hair 2,Rare Horns 1,Common Lace Glove
45,Common Forest,Uncommon Purple,Common Outfit 5,Common Ears 6,Uncommon Face 1,Uncommon Hair 2,none,Common Demon Tail
46,Common Rainbow,Uncommon Purple,Rare Outfit 2,Common Ears 5,Common Face 5,Common Hair 4,none,Common Spider
47,Common Moon,Uncommon Purple,Uncommon Outfit 1,Uncommon Ear 1,Rare Face 1,Uncommon Hair 2,Common Horns 1,Common Spider
48,Common Rainbow,Rare Pink,Common Outfit 1,Common Ears 1,Common Face 5,Uncommon Hair 2,Common Horns 3,Uncommon Snake
49,Common Rainbow,Uncommon Purple,Common Outfit 2,Common Ears 1,Uncommon Face 3,Uncommon Hair 1,none,Common Spider
50,Common Forest,Common Blue,Common Outfit 5,Common Ears 4,Uncommon Face 3,Common Hair 4,Common Horns 2,Common Apple
51,Common Moon,Common Blue,Rare Outfit 1,Common Ears 3,Rare Face 1,Common Hair 1,Common Horns 1,Common Apple
52,Common Rainbow,Common Red,Rare Outfit 1,Common Ears 1,Rare Face 2,Rare Hair 1,Rare Horns 1,Uncommon Whip
53,Common Rainbow,Common Blue,Common Outfit 1,Common Ears 5,Common Face 5,Uncommon Hair 1,Common Horns 3,Common Locket
54,Common Clouds,Common Blue,Uncommon Outfit 1,Uncommon Ear 1,Common Face 4,Common Hair 2,none,Common Apple
55,Common Rainbow,Uncommon Purple,Common Outfit 6,Uncommon Ears 2,Common Face 5,Common Hair 2,Common Horns 2,Common Spider
56,Common Moon,Common Red,Common Outfit 6,Common Ears 6,Common Face 4,Rare Hair 1,Common Horns 1,Uncommon Whip
57,Common Rainbow,Uncommon Purple,Uncommon Outfit 2,Uncommon Ear 1,Common Face 2,Rare Hair 1,Uncommon Horns 1,Common Locket
58,Common Clouds,Common Red,Uncommon Outfit 1,Common Ears 6,Rare Face 1,Common Hair 3,none,Uncommon Snake
59,Common Rainbow,Rare Pink,Rare Outfit 2,Common Ears 3,Common Face 5,Common Hair 3,Common Horns 1,Common Lace Glove
60,Common Forest,Uncommon Purple,Rare Outfit 2,Common Ears 4,Common Face 2,Rare Hair 1,Uncommon Horns 1,Common Demon Tail
61,Common Forest,Rare Pink,Rare Outfit 1,Rare Ears 1,Common Face 4,Uncommon Hair 2,Rare Horns 1,Common Locket
62,Common Rainbow,Common Red,Common Outfit 1,Uncommon Ear 1,Rare Face 2,Common Hair 3,Common Horns 2,Common Spider
63,Common Rainbow,Rare Pink,Rare Outfit 2,Uncommon Ears 2,Uncommon Face 1,Common Hair 3,Common Horns 2,Common Lace Glove
64,Common Moon,Uncommon Purple,Uncommon Outfit 2,Rare Ears 2,Uncommon Face 2,Common Hair 3,none,Uncommon Whip
65,Common Forest,Rare Pink,Uncommon Outfit 2,Rare Ears 2,Rare Face 2,Uncommon Hair 1,none,Common Apple
66,Common Clouds,Common Red,Rare Outfit 1,Uncommon Ears 2,Uncommon Face 1,Uncommon Hair 1,Uncommon Horns 1,Common Spider
67,Common Clouds,Common Blue,Uncommon Outfit 1,Common Ears 1,Rare Face 1,Uncommon Hair 2,Common Horns 2,Common Apple
68,Common Forest,Common Blue,Common Outfit 2,Rare Ears 2,Common Face 2,Common Hair 4,Uncommon Horns 1,Uncommon Snake
69,Common Clouds,Common Blue,Rare Outfit 1,Common Ears 4,Common Face 6,Common Hair 3,Common Horns 2,Uncommon Snake
70,Common Clouds,Uncommon Purple,Uncommon Outfit 1,Rare Ears 1,Common Face 6,Uncommon Hair 2,Uncommon Horns 1,Common Lace Glove
71,Common Forest,Rare Pink,Rare Outfit 1,Common Ears 5,Rare Face 1,Common Hair 1,Common Horns 1,Common Apple
72,Common Moon,Common Blue,Uncommon Outfit 1,Common Ears 4,Common Face 4,Rare Hair 1,Common Horns 3,Uncommon Whip
73,Common Forest,Common Blue,Common Outfit 5,Common Ears 3,Common Face 6,Common Hair 3,Common Horns 2,Uncommon Whip
74,Common Clouds,Rare Pink,Common Outfit 4,Uncommon Ears 2,Common Face 1,Common Hair 1,Common Horns 2,Uncommon Snake
